2018/07/26,1542,1572,1300,1308,3605500,1308,1
2018/07/27,1428,1550,1360,1501,5452300,1501,1
2018/07/30,1621,1657,1407,1462,3526300,1462,1
2018/07/31,1473,1590,1416,1584,2231500,1584,1
2018/08/01,1578,1599,1503,1510,1693200,1510,1
2018/08/02,1530,1680,1521,1668,3701600,1668,1
2018/08/03,1708,1739,1631,1695,3521000,1695,1
2018/08/06,1735,1889,1722,1850,3271400,1850,1
2018/08/07,1853,1929,1790,1825,1911100,1825,1
2018/08/08,1770,1846,1761,1810,780300,1810,1
2018/08/09,1797,1805,1685,1685,875800,1685,1
2018/08/10,1720,1745,1591,1616,847200,1616,1
2018/08/13,1576,1596,1465,1570,986700,1570,1
2018/08/14,1530,1580,1380,1380,952100,1380,1
